id,kind,created_at
f0000000-0000-0000-0000-000000000001,click,2024-02-01T00:00:00Z
f0000000-0000-0000-0000-000000000002,click,2024-02-01T00:00:00Z
f0000000-0000-0000-0000-000000000003,click,2024-02-01T00:00:00Z
f0000000-0000-0000-0000-000000000004,click,2024-02-01T00:00:00Z
f0000000-0000-0000-0000-000000000005,click,2024-02-01T00:00:00Z
f0000000-0000-0000-0000-000000000006,click,2024-02-01T00:00:00Z
f0000000-0000-0000-0000-000000000007,click,2024-02-01T00:00:00Z
f0000000-0000-0000-0000-000000000008,click,2024-02-01T00:00:00Z
f0000000-0000-0000-0000-000000000009,click,2024-02-01T00:00:00Z
f0000000-0000-0000-0000-000000000010,click,2024-02-01T00:00:00Z
f0000000-0000-0000-0000-000000000011,click,2024-02-01T00:00:00Z
f0000000-0000-0000-0000-000000000012,click,2024-02-01T00:00:00Z
f0000000-0000-0000-0000-000000000013,click,2024-02-01T00:00:00Z
f0000000-0000-0000-0000-000000000014,click,2024-02-01T00:00:00Z
f0000000-0000-0000-0000-000000000015,click,2024-02-01T00:00:00Z
f0000000-0000-0000-0000-000000000016,click,2024-02-01T00:00:00Z
f0000000-0000-0000-0000-000000000017,click,2024-02-01T00:00:00Z
f0000000-0000-0000-0000-000000000018,click,2024-02-01T00:00:00Z
f0000000-0000-0000-0000-000000000019,click,2024-02-01T00:00:00Z
f0000000-0000-0000-0000-000000000020,click,2024-02-01T00:00:00Z
f0000000-0000-0000-0000-000000000021,click,2024-02-01T00:00:00Z
f0000000-0000-0000-0000-000000000022,click,2024-02-01T00:00:00Z
f0000000-0000-0000-0000-000000000023,click,2024-02-01T00:00:00Z
f0000000-0000-0000-0000-000000000024,click,2024-02-01T00:00:00Z
f0000000-0000-0000-0000-000000000025,click,2024-02-01T00:00:00Z
f0000000-0000-0000-0000-000000000026,click,2024-02-01T00:00:00Z
f0000000-0000-0000-0000-000000000027,click,2024-02-01T00:00:00Z
f0000000-0000-0000-0000-000000000028,click,2024-02-01T00:00:00Z
f0000000-0000-0000-0000-000000000029,click,2024-02-01T00:00:00Z
f0000000-0000-0000-0000-000000000030,click,2024-02-01T00:00:00Z
f0000000-0000-0000-0000-000000000031,click,2024-02-01T00:00:00Z
f0000000-0000-0000-0000-000000000032,click,2024-02-01T00:00:00Z
f0000000-0000-0000-0000-000000000033,click,2024-02-01T00:00:00Z
f0000000-0000-0000-0000-000000000034,click,2024-02-01T00:00:00Z
f0000000-0000-0000-0000-000000000035,click,2024-02-01T00:00:00Z
f0000000-0000-0000-0000-000000000036,click,2024-02-01T00:00:00Z
